location,year,month,value,min,max,one,aggregation
Armii Krajowej,2020,Apr,,,,1,1
Armii Krajowej,2020,May,,,,1,1
Armii Krajowej,2020,Jun,,,,1,1
Armii Krajowej,2020,Jul,,,,1,1
Armii Krajowej,2020,Aug,,,,1,1
Armii Krajowej,2020,Sep,,,,1,1
Armii Krajowej,2020,Oct,,,,1,1
Armii Krajowej,2020,Nov,,,,1,1
Armii Krajowej,2020,Dec,179,179.32,179.32,1,1
Armii Krajowej,2021,Jan,127,127.097,127.097,1,1
Armii Krajowej,2021,Feb,143,142.714,142.714,1,1
Armii Krajowej,2021,Mar,349,349.29,349.29,1,1
Armii Krajowej,2021,Apr,543,543.033,543.033,1,1
Armii Krajowej,2021,May,869,869.161,869.161,1,1
Armii Krajowej,2021,Jun,1332,1332.433,1332.433,1,1
Armii Krajowej,2021,Jul,1127,1126.968,1126.968,1,1
Armii Krajowej,2021,Aug,937,936.935,936.935,1,1
Armii Krajowej,2021,Sep,888,888,888,1,1
Armii Krajowej,2021,Oct,715,715,715,1,1
Armii Krajowej,2021,Nov,411,411.033,411.033,1,1
Armii Krajowej,2021,Dec,170,169.677,169.677,1,1
Armii Krajowej,2022,Jan,152,152.097,152.097,1,1
Armii Krajowej,2022,Feb,219,219.107,219.107,1,1
Armii Krajowej,2022,Mar,488,488.194,488.194,1,1
Armii Krajowej,2022,Apr,536,535.733,535.733,1,1
Armii Krajowej,2022,May,1312,1311.71,1311.71,1,1
Armii Krajowej,2022,Jun,1366,1365.933,1365.933,1,1
Armii Krajowej,2022,Jul,1172,1172.419,1172.419,1,1
Armii Krajowej,2022,Aug,1248,1247.806,1247.806,1,1
Armii Krajowej,2022,Sep,798,798.267,798.267,1,1
Armii Krajowej,2022,Oct,795,794.5,794.5,1,1
Armii Krajowej,2022,Nov,,,,1,1
Armii Krajowej,2022,Dec,,,,1,1
Bora-Komorowskiego,2016,Jan,,,,1,1
Bora-Komorowskiego,2016,Feb,,,,1,1
Bora-Komorowskiego,2016,Mar,,,,1,1
Bora-Komorowskiego,2016,Apr,,,,1,1
Bora-Komorowskiego,2016,May,,,,1,1
Bora-Komorowskiego,2016,Jun,,,,1,1
Bora-Komorowskiego,2016,Jul,,,,1,1
Bora-Komorowskiego,2016,Aug,,,,1,1
Bora-Komorowskiego,2016,Sep,,,,1,1
Bora-Komorowskiego,2016,Oct,,,,1,1
Bora-Komorowskiego,2016,Nov,,,,1,1
Bora-Komorowskiego,2016,Dec,,,,1,1
Bora-Komorowskiego,2017,Jan,,,,1,1
Bora-Komorowskiego,2017,Feb,,,,1,1
Bora-Komorowskiego,2017,Mar,,,,1,1
Bora-Komorowskiego,2017,Apr,,,,1,1
Bora-Komorowskiego,2017,May,,,,1,1
Bora-Komorowskiego,2017,Jun,,,,1,1
Bora-Komorowskiego,2017,Jul,,,,1,1
Bora-Komorowskiego,2017,Aug,,,,1,1
Bora-Komorowskiego,2017,Sep,,,,1,1
Bora-Komorowskiego,2017,Oct,,,,1,1
Bora-Komorowskiego,2017,Nov,,,,1,1
Bora-Komorowskiego,2017,Dec,,,,1,1
Bora-Komorowskiego,2018,Jan,,,,1,1
Bora-Komorowskiego,2018,Feb,,,,1,1
Bora-Komorowskiego,2018,Mar,,,,1,1
Bora-Komorowskiego,2018,Apr,,,,1,1
Bora-Komorowskiego,2018,May,,,,1,1
Bora-Komorowskiego,2018,Jun,,,,1,1
Bora-Komorowskiego,2018,Jul,904,903.538,903.538,1,1
Bora-Komorowskiego,2018,Aug,1180,1179.968,1179.968,1,1
Bora-Komorowskiego,2018,Sep,943,942.667,942.667,1,1
Bora-Komorowskiego,2018,Oct,603,603.129,603.129,1,1
Bora-Komorowskiego,2018,Nov,342,341.833,341.833,1,1
Bora-Komorowskiego,2018,Dec,135,134.645,134.645,1,1
Bora-Komorowskiego,2019,Jan,95,95.419,95.419,1,1
Bora-Komorowskiego,2019,Feb,225,224.75,224.75,1,1
Bora-Komorowskiego,2019,Mar,402,401.677,401.677,1,1
Bora-Komorowskiego,2019,Apr,630,630.033,630.033,1,1
Bora-Komorowskiego,2019,May,689,688.613,688.613,1,1
Bora-Komorowskiego,2019,Jun,1403,1403.4,1403.4,1,1
Bora-Komorowskiego,2019,Jul,1187,1186.677,1186.677,1,1
Bora-Komorowskiego,2019,Aug,1215,1215.194,1215.194,1,1
Bora-Komorowskiego,2019,Sep,860,859.6,859.6,1,1
Bora-Komorowskiego,2019,Oct,737,736.677,736.677,1,1
Bora-Komorowskiego,2019,Nov,383,382.567,382.567,1,1
Bora-Komorowskiego,2019,Dec,242,241.839,241.839,1,1
Bora-Komorowskiego,2020,Jan,234,233.774,233.774,1,1
Bora-Komorowskiego,2020,Feb,238,238.448,238.448,1,1
Bora-Komorowskiego,2020,Mar,375,374.968,374.968,1,1
Bora-Komorowskiego,2020,Apr,693,693,693,1,1
Bora-Komorowskiego,2020,May,996,996.226,996.226,1,1
Bora-Komorowskiego,2020,Jun,1301,1301,1301,1,1
Bora-Komorowskiego,2020,Jul,1486,1485.548,1485.548,1,1
Bora-Komorowskiego,2020,Aug,1375,1375.323,1375.323,1,1
Bora-Komorowskiego,2020,Sep,1218,1217.567,1217.567,1,1
Bora-Komorowskiego,2020,Oct,655,655.129,655.129,1,1
Bora-Komorowskiego,2020,Nov,472,472.433,472.433,1,1
Bora-Komorowskiego,2020,Dec,267,267.194,267.194,1,1
Bora-Komorowskiego,2021,Jan,203,203.355,203.355,1,1
Bora-Komorowskiego,2021,Feb,236,235.786,235.786,1,1
Bora-Komorowskiego,2021,Mar,465,465.355,465.355,1,1
Bora-Komorowskiego,2021,Apr,645,644.5,644.5,1,1
Bora-Komorowskiego,2021,May,1037,1036.871,1036.871,1,1
Bora-Komorowskiego,2021,Jun,1477,1477.2,1477.2,1,1
Bora-Komorowskiego,2021,Jul,1228,1228.226,1228.226,1,1
Bora-Komorowskiego,2021,Aug,984,984.065,984.065,1,1
Bora-Komorowskiego,2021,Sep,967,966.633,966.633,1,1
Bora-Komorowskiego,2021,Oct,722,722.161,722.161,1,1
Bora-Komorowskiego,2021,Nov,429,428.5,428.5,1,1
Bora-Komorowskiego,2021,Dec,189,188.71,188.71,1,1
Bora-Komorowskiego,2022,Jan,164,164,164,1,1
Bora-Komorowskiego,2022,Feb,261,261.429,261.429,1,1
Bora-Komorowskiego,2022,Mar,528,528.032,528.032,1,1
Bora-Komorowskiego,2022,Apr,573,573.067,573.067,1,1
Bora-Komorowskiego,2022,May,1530,1530.419,1530.419,1,1
Bora-Komorowskiego,2022,Jun,1568,1568.3,1568.3,1,1
Bora-Komorowskiego,2022,Jul,1334,1334.258,1334.258,1,1
Bora-Komorowskiego,2022,Aug,1508,1507.645,1507.645,1,1
Bora-Komorowskiego,2022,Sep,973,973.333,973.333,1,1
Bora-Komorowskiego,2022,Oct,897,897.357,897.357,1,1
Bora-Komorowskiego,2022,Nov,,,,1,1
Bora-Komorowskiego,2022,Dec,,,,1,1
Bulwary,2016,Jan,,,,1,1
Bulwary,2016,Feb,,,,1,1
Bulwary,2016,Mar,,,,1,1
Bulwary,2016,Apr,,,,1,1
Bulwary,2016,May,,,,1,1
Bulwary,2016,Jun,,,,1,1
Bulwary,2016,Jul,,,,1,1
Bulwary,2016,Aug,,,,1,1
Bulwary,2016,Sep,,,,1,1
Bulwary,2016,Oct,,,,1,1
Bulwary,2016,Nov,538,538.308,538.308,1,1
Bulwary,2016,Dec,254,254.355,254.355,1,1
Bulwary,2017,Jan,89,89.097,89.097,1,1
Bulwary,2017,Feb,238,237.929,237.929,1,1
Bulwary,2017,Mar,855,854.935,854.935,1,1
Bulwary,2017,Apr,1082,1081.5,1081.5,1,1
Bulwary,2017,May,2158,2158.032,2158.032,1,1
Bulwary,2017,Jun,2681,2681.467,2681.467,1,1
Bulwary,2017,Jul,2677,2677.419,2677.419,1,1
Bulwary,2017,Aug,2625,2624.613,2624.613,1,1
Bulwary,2017,Sep,1473,1472.967,1472.967,1,1
Bulwary,2017,Oct,1039,1038.645,1038.645,1,1
Bulwary,2017,Nov,559,558.633,558.633,1,1
Bulwary,2017,Dec,261,261.452,261.452,1,1
Bulwary,2018,Jan,264,263.903,263.903,1,1
Bulwary,2018,Feb,184,183.643,183.643,1,1
Bulwary,2018,Mar,488,488.452,488.452,1,1
Bulwary,2018,Apr,2701,2701.3,2701.3,1,1
Bulwary,2018,May,3118,3117.742,3117.742,1,1
Bulwary,2018,Jun,2558,2557.767,2557.767,1,1
Bulwary,2018,Jul,2197,2197.161,2197.161,1,1
Bulwary,2018,Aug,2326,2326.484,2326.484,1,1
Bulwary,2018,Sep,1955,1955.267,1955.267,1,1
Bulwary,2018,Oct,1410,1410.065,1410.065,1,1
Bulwary,2018,Nov,710,709.533,709.533,1,1
Bulwary,2018,Dec,260,259.742,259.742,1,1
Bulwary,2019,Jan,152,152.258,152.258,1,1
Bulwary,2019,Feb,558,558.286,558.286,1,1
Bulwary,2019,Mar,1162,1161.806,1161.806,1,1
Bulwary,2019,Apr,1716,1716.1,1716.1,1,1
Bulwary,2019,May,1530,1530.419,1530.419,1,1
Bulwary,2019,Jun,2999,2999.333,2999.333,1,1
Bulwary,2019,Jul,2530,2529.839,2529.839,1,1
Bulwary,2019,Aug,2887,2886.516,2886.516,1,1
Bulwary,2019,Sep,2258,2257.933,2257.933,1,1
Bulwary,2019,Oct,1851,1851.032,1851.032,1,1
Bulwary,2019,Nov,853,852.933,852.933,1,1
Bulwary,2019,Dec,522,522.355,522.355,1,1
Bulwary,2020,Jan,483,482.516,482.516,1,1
Bulwary,2020,Feb,572,572.345,572.345,1,1
Bulwary,2020,Mar,883,882.839,882.839,1,1
Bulwary,2020,Apr,816,816.267,816.267,1,1
Bulwary,2020,May,2366,2366.355,2366.355,1,1
Bulwary,2020,Jun,3296,3296.033,3296.033,1,1
Bulwary,2020,Jul,3687,3687.452,3687.452,1,1
Bulwary,2020,Aug,3377,3376.71,3376.71,1,1
Bulwary,2020,Sep,2737,2736.733,2736.733,1,1
Bulwary,2020,Oct,1448,1448,1448,1,1
Bulwary,2020,Nov,1031,1030.7,1030.7,1,1
Bulwary,2020,Dec,550,549.613,549.613,1,1
Bulwary,2021,Jan,368,368.452,368.452,1,1
Bulwary,2021,Feb,382,382.25,382.25,1,1
Bulwary,2021,Mar,980,980.226,980.226,1,1
Bulwary,2021,Apr,1540,1540.167,1540.167,1,1
Bulwary,2021,May,2285,2284.677,2284.677,1,1
Bulwary,2021,Jun,3129,3129.167,3129.167,1,1
Bulwary,2021,Jul,2634,2634.323,2634.323,1,1
Bulwary,2021,Aug,2165,2165.323,2165.323,1,1
Bulwary,2021,Sep,2011,2010.833,2010.833,1,1
Bulwary,2021,Oct,1481,1481.29,1481.29,1,1
Bulwary,2021,Nov,762,761.6,761.6,1,1
Bulwary,2021,Dec,291,290.581,290.581,1,1
Bulwary,2022,Jan,292,292,292,1,1
Bulwary,2022,Feb,516,516,516,1,1
Bulwary,2022,Mar,1150,1150,1150,1,1
Bulwary,2022,Apr,1192,1191.933,1191.933,1,1
Bulwary,2022,May,2969,2969.419,2969.419,1,1
Bulwary,2022,Jun,3231,3231.3,3231.3,1,1
Bulwary,2022,Jul,2789,2789.097,2789.097,1,1
Bulwary,2022,Aug,2980,2980,2980,1,1
Bulwary,2022,Sep,1660,1659.7,1659.7,1,1
Bulwary,2022,Oct,1672,1672.357,1672.357,1,1
Bulwary,2022,Nov,,,,1,1
Bulwary,2022,Dec,,,,1,1
Dworzec,2016,Jan,,,,1,1
Dworzec,2016,Feb,,,,1,1
Dworzec,2016,Mar,,,,1,1
Dworzec,2016,Apr,,,,1,1
Dworzec,2016,May,,,,1,1
Dworzec,2016,Jun,,,,1,1
Dworzec,2016,Jul,,,,1,1
Dworzec,2016,Aug,,,,1,1
Dworzec,2016,Sep,,,,1,1
Dworzec,2016,Oct,,,,1,1
Dworzec,2016,Nov,,,,1,1
Dworzec,2016,Dec,,,,1,1
Dworzec,2017,Jan,,,,1,1
Dworzec,2017,Feb,,,,1,1
Dworzec,2017,Mar,,,,1,1
Dworzec,2017,Apr,,,,1,1
Dworzec,2017,May,,,,1,1
Dworzec,2017,Jun,,,,1,1
Dworzec,2017,Jul,,,,1,1
Dworzec,2017,Aug,,,,1,1
Dworzec,2017,Sep,,,,1,1
Dworzec,2017,Oct,,,,1,1
Dworzec,2017,Nov,406,406.2,406.2,1,1
Dworzec,2017,Dec,267,266.871,266.871,1,1
Dworzec,2018,Jan,281,281.097,281.097,1,1
Dworzec,2018,Feb,218,218.393,218.393,1,1
Dworzec,2018,Mar,341,340.903,340.903,1,1
Dworzec,2018,Apr,1179,1179.2,1179.2,1,1
Dworzec,2018,May,1397,1396.581,1396.581,1,1
Dworzec,2018,Jun,1387,1387.4,1387.4,1,1
Dworzec,2018,Jul,1216,1215.871,1215.871,1,1
Dworzec,2018,Aug,1348,1348.065,1348.065,1,1
Dworzec,2018,Sep,1214,1213.6,1213.6,1,1
Dworzec,2018,Oct,932,931.71,931.71,1,1
Dworzec,2018,Nov,583,583.167,583.167,1,1
Dworzec,2018,Dec,267,267.129,267.129,1,1
Dworzec,2019,Jan,163,163.452,163.452,1,1
Dworzec,2019,Feb,315,315.071,315.071,1,1
Dworzec,2019,Mar,459,459.129,459.129,1,1
Dworzec,2019,Apr,903,902.733,902.733,1,1
Dworzec,2019,May,942,942.161,942.161,1,1
Dworzec,2019,Jun,1666,1666.1,1666.1,1,1
Dworzec,2019,Jul,1535,1535.097,1535.097,1,1
Dworzec,2019,Aug,1373,1373.161,1373.161,1,1
Dworzec,2019,Sep,1213,1212.7,1212.7,1,1
Dworzec,2019,Oct,1146,1146.419,1146.419,1,1
Dworzec,2019,Nov,680,680,680,1,1
Dworzec,2019,Dec,461,460.645,460.645,1,1
Dworzec,2020,Jan,466,465.774,465.774,1,1
Dworzec,2020,Feb,475,474.828,474.828,1,1
Dworzec,2020,Mar,482,481.839,481.839,1,1
Dworzec,2020,Apr,524,524.267,524.267,1,1
Dworzec,2020,May,877,877.29,877.29,1,1
Dworzec,2020,Jun,1311,1310.733,1310.733,1,1
Dworzec,2020,Jul,1644,1643.871,1643.871,1,1
Dworzec,2020,Aug,1525,1524.968,1524.968,1,1
Dworzec,2020,Sep,1516,1515.733,1515.733,1,1
Dworzec,2020,Oct,989,988.774,988.774,1,1
Dworzec,2020,Nov,776,775.767,775.767,1,1
Dworzec,2020,Dec,558,558.452,558.452,1,1
Dworzec,2021,Jan,411,410.677,410.677,1,1
Dworzec,2021,Feb,423,422.786,422.786,1,1
Dworzec,2021,Mar,778,778.194,778.194,1,1
Dworzec,2021,Apr,870,869.867,869.867,1,1
Dworzec,2021,May,1352,1352.29,1352.29,1,1
Dworzec,2021,Jun,1903,1902.8,1902.8,1,1
Dworzec,2021,Jul,1740,1739.774,1739.774,1,1
Dworzec,2021,Aug,1395,1395.355,1395.355,1,1
Dworzec,2021,Sep,1446,1446.1,1446.1,1,1
Dworzec,2021,Oct,1337,1336.903,1336.903,1,1
Dworzec,2021,Nov,947,946.633,946.633,1,1
Dworzec,2021,Dec,543,542.968,542.968,1,1
Dworzec,2022,Jan,480,480,480,1,1
Dworzec,2022,Feb,635,635.286,635.286,1,1
Dworzec,2022,Mar,1049,1048.677,1048.677,1,1
Dworzec,2022,Apr,1066,1065.567,1065.567,1,1
Dworzec,2022,May,2116,2116.226,2116.226,1,1
Dworzec,2022,Jun,2273,2273.433,2273.433,1,1
Dworzec,2022,Jul,2040,2040,2040,1,1
Dworzec,2022,Aug,2132,2131.903,2131.903,1,1
Dworzec,2022,Sep,1725,1725.433,1725.433,1,1
Dworzec,2022,Oct,1635,1634.714,1634.714,1,1
Dworzec,2022,Nov,,,,1,1
Dworzec,2022,Dec,,,,1,1
Grzegórzecka,2016,Jan,,,,1,1
Grzegórzecka,2016,Feb,,,,1,1
Grzegórzecka,2016,Mar,,,,1,1
Grzegórzecka,2016,Apr,,,,1,1
Grzegórzecka,2016,May,,,,1,1
Grzegórzecka,2016,Jun,,,,1,1
Grzegórzecka,2016,Jul,,,,1,1
Grzegórzecka,2016,Aug,,,,1,1
Grzegórzecka,2016,Sep,,,,1,1
Grzegórzecka,2016,Oct,,,,1,1
Grzegórzecka,2016,Nov,,,,1,1
Grzegórzecka,2016,Dec,,,,1,1
Grzegórzecka,2017,Jan,,,,1,1
Grzegórzecka,2017,Feb,,,,1,1
Grzegórzecka,2017,Mar,,,,1,1
Grzegórzecka,2017,Apr,,,,1,1
Grzegórzecka,2017,May,,,,1,1
Grzegórzecka,2017,Jun,,,,1,1
Grzegórzecka,2017,Jul,,,,1,1
Grzegórzecka,2017,Aug,,,,1,1
Grzegórzecka,2017,Sep,,,,1,1
Grzegórzecka,2017,Oct,,,,1,1
Grzegórzecka,2017,Nov,,,,1,1
Grzegórzecka,2017,Dec,,,,1,1
Grzegórzecka,2018,Jan,,,,1,1
Grzegórzecka,2018,Feb,,,,1,1
Grzegórzecka,2018,Mar,,,,1,1
Grzegórzecka,2018,Apr,,,,1,1
Grzegórzecka,2018,May,,,,1,1
Grzegórzecka,2018,Jun,,,,1,1
Grzegórzecka,2018,Jul,,,,1,1
Grzegórzecka,2018,Aug,,,,1,1
Grzegórzecka,2018,Sep,,,,1,1
Grzegórzecka,2018,Oct,,,,1,1
Grzegórzecka,2018,Nov,,,,1,1
Grzegórzecka,2018,Dec,,,,1,1
Grzegórzecka,2019,Jan,,,,1,1
Grzegórzecka,2019,Feb,,,,1,1
Grzegórzecka,2019,Mar,,,,1,1
Grzegórzecka,2019,Apr,,,,1,1
Grzegórzecka,2019,May,,,,1,1
Grzegórzecka,2019,Jun,,,,1,1
Grzegórzecka,2019,Jul,,,,1,1
Grzegórzecka,2019,Aug,,,,1,1
Grzegórzecka,2019,Sep,,,,1,1
Grzegórzecka,2019,Oct,,,,1,1
Grzegórzecka,2019,Nov,,,,1,1
Grzegórzecka,2019,Dec,,,,1,1
Grzegórzecka,2020,Jan,,,,1,1
Grzegórzecka,2020,Feb,,,,1,1
Grzegórzecka,2020,Mar,,,,1,1
Grzegórzecka,2020,Apr,,,,1,1
Grzegórzecka,2020,May,,,,1,1
Grzegórzecka,2020,Jun,,,,1,1
Grzegórzecka,2020,Jul,,,,1,1
Grzegórzecka,2020,Aug,,,,1,1
Grzegórzecka,2020,Sep,,,,1,1
Grzegórzecka,2020,Oct,,,,1,1
Grzegórzecka,2020,Nov,,,,1,1
Grzegórzecka,2020,Dec,741,741.04,741.04,1,1
Grzegórzecka,2021,Jan,717,716.774,716.774,1,1
Grzegórzecka,2021,Feb,758,758.25,758.25,1,1
Grzegórzecka,2021,Mar,1125,1124.774,1124.774,1,1
Grzegórzecka,2021,Apr,1231,1231.3,1231.3,1,1
Grzegórzecka,2021,May,1771,1771.484,1771.484,1,1
Grzegórzecka,2021,Jun,2410,2409.7,2409.7,1,1
Grzegórzecka,2021,Jul,2169,2169.258,2169.258,1,1
Grzegórzecka,2021,Aug,1790,1790.387,1790.387,1,1
Grzegórzecka,2021,Sep,1758,1758.033,1758.033,1,1
Grzegórzecka,2021,Oct,1543,1543.355,1543.355,1,1
Grzegórzecka,2021,Nov,1121,1120.533,1120.533,1,1
Grzegórzecka,2021,Dec,691,690.548,690.548,1,1
Grzegórzecka,2022,Jan,568,567.677,567.677,1,1
Grzegórzecka,2022,Feb,765,764.929,764.929,1,1
Grzegórzecka,2022,Mar,1152,1151.935,1151.935,1,1
Grzegórzecka,2022,Apr,1153,1152.867,1152.867,1,1
Grzegórzecka,2022,May,2086,2086.194,2086.194,1,1
Grzegórzecka,2022,Jun,2269,2269.333,2269.333,1,1
Grzegórzecka,2022,Jul,2063,2062.677,2062.677,1,1
Grzegórzecka,2022,Aug,2221,2220.548,2220.548,1,1
Grzegórzecka,2022,Sep,1770,1769.8,1769.8,1,1
Grzegórzecka,2022,Oct,1711,1710.929,1710.929,1,1
Grzegórzecka,2022,Nov,,,,1,1
Grzegórzecka,2022,Dec,,,,1,1
Kamieńskiego,2016,Jan,,,,1,1
Kamieńskiego,2016,Feb,,,,1,1
Kamieńskiego,2016,Mar,,,,1,1
Kamieńskiego,2016,Apr,,,,1,1
Kamieńskiego,2016,May,,,,1,1
Kamieńskiego,2016,Jun,,,,1,1
Kamieńskiego,2016,Jul,,,,1,1
Kamieńskiego,2016,Aug,,,,1,1
Kamieńskiego,2016,Sep,,,,1,1
Kamieńskiego,2016,Oct,,,,1,1
Kamieńskiego,2016,Nov,,,,1,1
Kamieńskiego,2016,Dec,,,,1,1
Kamieńskiego,2017,Jan,,,,1,1
Kamieńskiego,2017,Feb,,,,1,1
Kamieńskiego,2017,Mar,,,,1,1
Kamieńskiego,2017,Apr,,,,1,1
Kamieńskiego,2017,May,,,,1,1
Kamieńskiego,2017,Jun,,,,1,1
Kamieńskiego,2017,Jul,,,,1,1
Kamieńskiego,2017,Aug,,,,1,1
Kamieńskiego,2017,Sep,,,,1,1
Kamieńskiego,2017,Oct,,,,1,1
Kamieńskiego,2017,Nov,,,,1,1
Kamieńskiego,2017,Dec,,,,1,1
Kamieńskiego,2018,Jan,,,,1,1
Kamieńskiego,2018,Feb,,,,1,1
Kamieńskiego,2018,Mar,,,,1,1
Kamieńskiego,2018,Apr,,,,1,1
Kamieńskiego,2018,May,,,,1,1
Kamieńskiego,2018,Jun,,,,1,1
Kamieńskiego,2018,Jul,,,,1,1
Kamieńskiego,2018,Aug,,,,1,1
Kamieńskiego,2018,Sep,,,,1,1
Kamieńskiego,2018,Oct,,,,1,1
Kamieńskiego,2018,Nov,,,,1,1
Kamieńskiego,2018,Dec,,,,1,1
Kamieńskiego,2019,Jan,,,,1,1
Kamieńskiego,2019,Feb,,,,1,1
Kamieńskiego,2019,Mar,,,,1,1
Kamieńskiego,2019,Apr,,,,1,1
Kamieńskiego,2019,May,,,,1,1
Kamieńskiego,2019,Jun,,,,1,1
Kamieńskiego,2019,Jul,,,,1,1
Kamieńskiego,2019,Aug,,,,1,1
Kamieńskiego,2019,Sep,,,,1,1
Kamieńskiego,2019,Oct,,,,1,1
Kamieńskiego,2019,Nov,,,,1,1
Kamieńskiego,2019,Dec,,,,1,1
Kamieńskiego,2020,Jan,,,,1,1
Kamieńskiego,2020,Feb,,,,1,1
Kamieńskiego,2020,Mar,,,,1,1
Kamieńskiego,2020,Apr,,,,1,1
Kamieńskiego,2020,May,,,,1,1
Kamieńskiego,2020,Jun,,,,1,1
Kamieńskiego,2020,Jul,,,,1,1
Kamieńskiego,2020,Aug,,,,1,1
Kamieńskiego,2020,Sep,,,,1,1
Kamieńskiego,2020,Oct,,,,1,1
Kamieńskiego,2020,Nov,,,,1,1
Kamieńskiego,2020,Dec,181,180.609,180.609,1,1
Kamieńskiego,2021,Jan,125,124.774,124.774,1,1
Kamieńskiego,2021,Feb,161,161.25,161.25,1,1
Kamieńskiego,2021,Mar,386,386.355,386.355,1,1
Kamieńskiego,2021,Apr,598,597.567,597.567,1,1
Kamieńskiego,2021,May,974,973.516,973.516,1,1
Kamieńskiego,2021,Jun,1356,1356.4,1356.4,1,1
Kamieńskiego,2021,Jul,1178,1178.065,1178.065,1,1
Kamieńskiego,2021,Aug,981,981.29,981.29,1,1
Kamieńskiego,2021,Sep,979,979.233,979.233,1,1
Kamieńskiego,2021,Oct,757,756.516,756.516,1,1
Kamieńskiego,2021,Nov,446,445.933,445.933,1,1
Kamieńskiego,2021,Dec,201,200.774,200.774,1,1
Kamieńskiego,2022,Jan,153,153.452,153.452,1,1
Kamieńskiego,2022,Feb,261,260.5,260.5,1,1
Kamieńskiego,2022,Mar,545,544.71,544.71,1,1
Kamieńskiego,2022,Apr,581,580.5,580.5,1,1
Kamieńskiego,2022,May,1417,1416.548,1416.548,1,1
Kamieńskiego,2022,Jun,1478,1478.1,1478.1,1,1
Kamieńskiego,2022,Jul,1270,1270.258,1270.258,1,1
Kamieńskiego,2022,Aug,1418,1418.129,1418.129,1,1
Kamieńskiego,2022,Sep,961,961,961,1,1
Kamieńskiego,2022,Oct,905,904.857,904.857,1,1
Kamieńskiego,2022,Nov,,,,1,1
Kamieńskiego,2022,Dec,,,,1,1
Klimeckiego,2016,Jan,,,,1,1
Klimeckiego,2016,Feb,,,,1,1
Klimeckiego,2016,Mar,,,,1,1
Klimeckiego,2016,Apr,,,,1,1
Klimeckiego,2016,May,,,,1,1
Klimeckiego,2016,Jun,,,,1,1
Klimeckiego,2016,Jul,,,,1,1
Klimeckiego,2016,Aug,,,,1,1
Klimeckiego,2016,Sep,,,,1,1
Klimeckiego,2016,Oct,,,,1,1
Klimeckiego,2016,Nov,,,,1,1
Klimeckiego,2016,Dec,,,,1,1
Klimeckiego,2017,Jan,,,,1,1
Klimeckiego,2017,Feb,,,,1,1
Klimeckiego,2017,Mar,,,,1,1
Klimeckiego,2017,Apr,,,,1,1
Klimeckiego,2017,May,,,,1,1
Klimeckiego,2017,Jun,,,,1,1
Klimeckiego,2017,Jul,,,,1,1
Klimeckiego,2017,Aug,,,,1,1
Klimeckiego,2017,Sep,,,,1,1
Klimeckiego,2017,Oct,,,,1,1
Klimeckiego,2017,Nov,,,,1,1
Klimeckiego,2017,Dec,,,,1,1
Klimeckiego,2018,Jan,,,,1,1
Klimeckiego,2018,Feb,,,,1,1
Klimeckiego,2018,Mar,,,,1,1
Klimeckiego,2018,Apr,,,,1,1
Klimeckiego,2018,May,,,,1,1
