Group,New Group,Metric,Country,Value,Total,Point
Age,0,From 25 to 49 years,Iceland,15,13.7,1
Age,0,From 25 to 49 years,Norway,13,14.9,1
Age,0,From 25 to 49 years,Switzerland,13.2,17.1,1
Age,0,From 25 to 49 years,Croatia,26.7,31.3,1
Age,0,65 years or over ,Belgium,21,20.8,1
Age,0,65 years or over ,Bulgaria,55.9,41.6,1
Age,0,65 years or over ,Czech Republic,10.1,14.4,1
Age,0,65 years or over ,Denmark,18.4,18.3,1
Age,0,65 years or over ,Germany,14.8,19.7,1
Age,0,65 years or over ,Estonia,19,21.7,1
Age,0,65 years or over ,Ireland,12.9,29.9,1
Age,0,65 years or over ,Greece,26.7,27.7,1
Age,0,65 years or over ,Spain,22.6,25.5,1
Age,0,65 years or over ,France,12.8,19.2,1
Age,0,65 years or over ,Italy,20.3,24.5,1
Age,0,65 years or over ,Cyprus,43.7,23.6,1
Age,0,65 years or over ,Latvia,37.7,38.1,1
Age,0,65 years or over ,Lithuania,30,33.4,1
Age,0,65 years or over ,Luxembourg,6.1,17.1,1
Age,0,65 years or over ,Hungary,16.8,29.9,1
Age,0,65 years or over ,Malta,21.9,20.6,1
Age,0,65 years or over ,Netherlands,6.2,15.1,1
Age,0,65 years or over ,Austria,15.8,16.6,1
Age,0,65 years or over ,Poland,24.4,27.8,1
Age,0,65 years or over ,Portugal,26.1,25.3,1
Age,0,65 years or over ,Romania,39.9,41.4,1
Age,0,65 years or over ,Slovenia,22.8,18.3,1
Age,0,65 years or over ,Slovakia,16.7,20.6,1
Age,0,65 years or over ,Finland,19.5,16.9,1
Age,0,65 years or over ,Sweden,15.9,15,1
Age,0,65 years or over ,United Kingdom,22.3,23.1,1
Age,0,65 years or over ,Iceland,5.3,13.7,1
Age,0,65 years or over ,Norway,12.3,14.9,1
Age,0,65 years or over ,Switzerland,27.7,17.1,1
Age,0,65 years or over ,Croatia,34.7,31.3,1
Education,1,levels 0-2,Belgium,32.4,20.8,1
Education,0,levels 0-2,Bulgaria,66.7,41.6,1
Education,0,levels 0-2,Czech Republic,28.7,14.4,1
Education,0,levels 0-2,Denmark,25.5,18.3,1
Education,0,levels 0-2,Germany,34.5,19.7,1
Education,0,levels 0-2,Estonia,33.2,21.7,1
Education,0,levels 0-2,Ireland,36,29.9,1
Education,0,levels 0-2,Greece,36.7,27.7,1
Education,0,levels 0-2,Spain,30.9,25.5,1
Education,0,levels 0-2,France,25.2,19.2,1
Education,0,levels 0-2,Italy,29.6,24.5,1
Education,0,levels 0-2,Cyprus,40.5,23.6,1
Education,0,levels 0-2,Latvia,53.1,38.1,1
Education,0,levels 0-2,Lithuania,44.4,33.4,1
Education,0,levels 0-2,Luxembourg,22.7,17.1,1
Education,0,levels 0-2,Hungary,43.1,29.9,1
Education,0,levels 0-2,Malta,24.5,20.6,1
Education,0,levels 0-2,Netherlands,16.8,15.1,1
Education,0,levels 0-2,Austria,29.1,16.6,1
Education,0,levels 0-2,Poland,44.1,27.8,1
Education,0,levels 0-2,Portugal,26.9,25.3,1
Education,0,levels 0-2,Romania,58.2,41.4,1
Education,0,levels 0-2,Slovenia,36.6,18.3,1
Education,0,levels 0-2,Slovakia,34.9,20.6,1
Education,0,levels 0-2,Finland,25.6,16.9,1
Education,0,levels 0-2,Sweden,24.5,15,1
Education,0,levels 0-2,United Kingdom,32.6,23.1,1
Education,0,levels 0-2,Iceland,15,13.7,1
Education,0,levels 0-2,Norway,24.7,14.9,1
Education,0,levels 0-2,Switzerland,29.6,17.1,1
Education,0,levels 0-2,Croatia,48.5,31.3,1
Education,0,levels 3 and 4,Belgium,17.2,20.8,1
Education,0,levels 3 and 4,Bulgaria,34.5,41.6,1
Education,0,levels 3 and 4,Czech Republic,12.1,14.4,1
Education,0,levels 3 and 4,Denmark,16.7,18.3,1
Education,0,levels 3 and 4,Germany,20.9,19.7,1
Education,0,levels 3 and 4,Estonia,23.7,21.7,1
Education,0,levels 3 and 4,Ireland,26.8,29.9,1
Education,0,levels 3 and 4,Greece,26.2,27.7,1
Education,0,levels 3 and 4,Spain,21.9,25.5,1
Education,0,levels 3 and 4,France,16.9,19.2,1
Education,0,levels 3 and 4,Italy,18.4,24.5,1
Education,0,levels 3 and 4,Cyprus,19.4,23.6,1
Education,0,levels 3 and 4,Latvia,38.2,38.1,1
Education,0,levels 3 and 4,Lithuania,36.1,33.4,1
Education,0,levels 3 and 4,Luxembourg,13.7,17.1,1
Education,0,levels 3 and 4,Hungary,26.4,29.9,1
Education,0,levels 3 and 4,Malta,11.5,20.6,1
Education,0,levels 3 and 4,Netherlands,14.7,15.1,1
Education,0,levels 3 and 4,Austria,13,16.6,1
Education,0,levels 3 and 4,Poland,27.3,27.8,1
Education,0,levels 3 and 4,Portugal,14.6,25.3,1
Education,0,levels 3 and 4,Romania,33.2,41.4,1
Education,0,levels 3 and 4,Slovenia,16.6,18.3,1
Education,0,levels 3 and 4,Slovakia,19.1,20.6,1
Education,0,levels 3 and 4,Finland,19,16.9,1
Education,0,levels 3 and 4,Sweden,14.1,15,1
Education,0,levels 3 and 4,United Kingdom,22.6,23.1,1
Education,0,levels 3 and 4,Iceland,14.3,13.7,1
Education,0,levels 3 and 4,Norway,12.4,14.9,1
Education,0,levels 3 and 4,Switzerland,15,17.1,1
Education,0,levels 3 and 4,Croatia,26.7,31.3,1
Education,0,levels 5 and 6,Belgium,9,20.8,1
Education,0,levels 5 and 6,Bulgaria,16.4,41.6,1
Education,0,levels 5 and 6,Czech Republic,4.6,14.4,1
Education,0,levels 5 and 6,Denmark,11.9,18.3,1
Education,0,levels 5 and 6,Germany,11.1,19.7,1
Education,0,levels 5 and 6,Estonia,9.6,21.7,1
Education,0,levels 5 and 6,Ireland,15.9,29.9,1
Education,0,levels 5 and 6,Greece,10.7,27.7,1
Education,0,levels 5 and 6,Spain,11.9,25.5,1
Education,0,levels 5 and 6,France,9.2,19.2,1
Education,0,levels 5 and 6,Italy,11.2,24.5,1
Education,0,levels 5 and 6,Cyprus,10,23.6,1
Education,0,levels 5 and 6,Latvia,16.8,38.1,1
Education,0,levels 5 and 6,Lithuania,17.2,33.4,1
Education,0,levels 5 and 6,Luxembourg,5.6,17.1,1
Education,0,levels 5 and 6,Hungary,10.1,29.9,1
Education,0,levels 5 and 6,Malta,7,20.6,1
Education,0,levels 5 and 6,Netherlands,11.8,15.1,1
Education,0,levels 5 and 6,Austria,9,16.6,1
Education,0,levels 5 and 6,Poland,8.2,27.8,1
Education,0,levels 5 and 6,Portugal,8,25.3,1
Education,0,levels 5 and 6,Romania,11.3,41.4,1
Education,0,levels 5 and 6,Slovenia,5.5,18.3,1
Education,0,levels 5 and 6,Slovakia,8.7,20.6,1
Education,0,levels 5 and 6,Finland,6.7,16.9,1
Education,0,levels 5 and 6,Sweden,10.2,15,1
Education,0,levels 5 and 6,United Kingdom,11.1,23.1,1
Education,0,levels 5 and 6,Iceland,6.7,13.7,1
Education,0,levels 5 and 6,Norway,10.1,14.9,1
Education,0,levels 5 and 6,Switzerland,8.4,17.1,1
Education,0,levels 5 and 6,Croatia,11.5,31.3,1
Income,1,First quintile,Belgium,74.4,20.8,1
Income,0,First quintile,Bulgaria,100,41.6,1
Income,0,First quintile,Czech Republic,45.7,14.4,1
Income,0,First quintile,Denmark,79.7,18.3,1
Income,0,First quintile,Germany,88.1,19.7,1
Income,0,First quintile,Estonia,73.7,21.7,1
Income,0,First quintile,Ireland,85.1,29.9,1
Income,0,First quintile,Greece,100,27.7,1
Income,0,First quintile,Spain,100,25.5,1
Income,0,First quintile,France,78.6,19.2,1
Income,0,First quintile,Italy,93.5,24.5,1
Income,0,First quintile,Cyprus,89.3,23.6,1
Income,0,First quintile,Latvia,100,38.1,1
Income,0,First quintile,Lithuania,100,33.4,1
Income,0,First quintile,Luxembourg,84.5,17.1,1
Income,0,First quintile,Hungary,75.7,29.9,1
Income,0,First quintile,Malta,81.7,20.6,1
Income,0,First quintile,Netherlands,69.4,15.1,1
Income,0,First quintile,Austria,74.4,16.6,1
Income,0,First quintile,Poland,94.7,27.8,1
Income,0,First quintile,Portugal,91.6,25.3,1
Income,0,First quintile,Romania,100,41.4,1
Income,0,First quintile,Slovenia,81.3,18.3,1
Income,0,First quintile,Slovakia,67.6,20.6,1
Income,0,First quintile,Finland,79.4,16.9,1
Income,0,First quintile,Sweden,68.1,15,1
Income,0,First quintile,United Kingdom,92.7,23.1,1
Income,0,First quintile,Iceland,53,13.7,1
Income,0,First quintile,Norway,71.4,14.9,1
Income,0,First quintile,Switzerland,83.9,17.1,1
Income,0,First quintile,Croatia,100,31.3,1
Income,0,Second quintile,Belgium,21,20.8,1
Income,0,Second quintile,Bulgaria,54.8,41.6,1
Income,0,Second quintile,Czech Republic,11.1,14.4,1
Income,0,Second quintile,Denmark,18.6,18.3,1
Income,0,Second quintile,Germany,12.7,19.7,1
Income,0,Second quintile,Estonia,9.4,21.7,1
Income,0,Second quintile,Ireland,19.1,29.9,1
Income,0,Second quintile,Greece,27,27.7,1
Income,0,Second quintile,Spain,15.3,25.5,1
Income,0,Second quintile,France,15.1,19.2,1
Income,0,Second quintile,Italy,13.2,24.5,1
Income,0,Second quintile,Cyprus,11.3,23.6,1
Income,0,Second quintile,Latvia,45.4,38.1,1
Income,0,Second quintile,Lithuania,34.7,33.4,1
Income,0,Second quintile,Luxembourg,7.5,17.1,1
Income,0,Second quintile,Hungary,28.7,29.9,1
Income,0,Second quintile,Malta,13.9,20.6,1
Income,0,Second quintile,Netherlands,16.9,15.1,1
Income,0,Second quintile,Austria,12.2,16.6,1
Income,0,Second quintile,Poland,29.3,27.8,1
Income,0,Second quintile,Portugal,21.3,25.3,1
Income,0,Second quintile,Romania,53.6,41.4,1
Income,0,Second quintile,Slovenia,15.6,18.3,1
Income,0,Second quintile,Slovakia,14.2,20.6,1
Income,0,Second quintile,Finland,13,16.9,1
Income,0,Second quintile,Sweden,7.8,15,1
Income,0,Second quintile,United Kingdom,14,23.1,1
Income,0,Second quintile,Iceland,11.3,13.7,1
Income,0,Second quintile,Norway,14.9,14.9,1
Income,0,Second quintile,Switzerland,6.1,17.1,1
Income,0,Second quintile,Croatia,31.5,31.3,1
Income,0,Third quintile,Belgium,9.4,20.8,1
Income,0,Third quintile,Bulgaria,43.6,41.6,1
Income,0,Third quintile,Czech Republic,9.1,14.4,1
Income,0,Third quintile,Denmark,9.8,18.3,1
Income,0,Third quintile,Germany,6.4,19.7,1
Income,0,Third quintile,Estonia,8,21.7,1
Income,0,Third quintile,Ireland,13.9,29.9,1
Income,0,Third quintile,Greece,18,27.7,1
Income,0,Third quintile,Spain,9.3,25.5,1
Income,0,Third quintile,France,9.1,19.2,1
Income,0,Third quintile,Italy,9.8,24.5,1
Income,0,Third quintile,Cyprus,5.4,23.6,1
Income,0,Third quintile,Latvia,30.6,38.1,1
Income,0,Third quintile,Lithuania,30.9,33.4,1
Income,0,Third quintile,Luxembourg,3.7,17.1,1
Income,0,Third quintile,Hungary,19.6,29.9,1
Income,0,Third quintile,Malta,6.2,20.6,1
Income,0,Third quintile,Netherlands,9.7,15.1,1
Income,0,Third quintile,Austria,3.6,16.6,1
Income,0,Third quintile,Poland,15.4,27.8,1
Income,0,Third quintile,Portugal,15,25.3,1
Income,0,Third quintile,Romania,40.3,41.4,1
Income,0,Third quintile,Slovenia,5.6,18.3,1
Income,0,Third quintile,Slovakia,16.5,20.6,1
Income,0,Third quintile,Finland,6.1,16.9,1
Income,0,Third quintile,Sweden,4.8,15,1
Income,0,Third quintile,United Kingdom,9.5,23.1,1
Income,0,Third quintile,Iceland,8.8,13.7,1
Income,0,Third quintile,Norway,3.7,14.9,1
Income,0,Third quintile,Switzerland,3.9,17.1,1
Income,0,Third quintile,Croatia,20.5,31.3,1
Income,0,Fourth quintile,Belgium,4.2,20.8,1
Income,0,Fourth quintile,Bulgaria,33.6,41.6,1
Income,0,Fourth quintile,Czech Republic,3.6,14.4,1
Income,0,Fourth quintile,Denmark,5,18.3,1
Income,0,Fourth quintile,Germany,3.5,19.7,1
Income,0,Fourth quintile,Estonia,4.3,21.7,1
Income,0,Fourth quintile,Ireland,6.5,29.9,1
Income,0,Fourth quintile,Greece,3.6,27.7,1
Income,0,Fourth quintile,Spain,4.6,25.5,1
Income,0,Fourth quintile,France,5.7,19.2,1
Income,0,Fourth quintile,Italy,5.7,24.5,1
Income,0,Fourth quintile,Cyprus,7.8,23.6,1
Income,0,Fourth quintile,Latvia,20.5,38.1,1
Income,0,Fourth quintile,Lithuania,16.7,33.4,1
Income,0,Fourth quintile,Luxembourg,4,17.1,1
Income,0,Fourth quintile,Hungary,18.6,29.9,1
Income,0,Fourth quintile,Malta,5.7,20.6,1
Income,0,Fourth quintile,Netherlands,5.3,15.1,1
Income,0,Fourth quintile,Austria,1.5,16.6,1
Income,0,Fourth quintile,Poland,9.4,27.8,1
Income,0,Fourth quintile,Portugal,13.3,25.3,1
Income,0,Fourth quintile,Romania,30.5,41.4,1
Income,0,Fourth quintile,Slovenia,3.5,18.3,1
Income,0,Fourth quintile,Slovakia,12.8,20.6,1
Income,0,Fourth quintile,Finland,1.7,16.9,1
Income,0,Fourth quintile,Sweden,1,15,1
Income,0,Fourth quintile,United Kingdom,5.4,23.1,1
Income,0,Fourth quintile,Iceland,4.7,13.7,1
Income,0,Fourth quintile,Norway,4.9,14.9,1
Income,0,Fourth quintile,Switzerland,1.2,17.1,1
Income,0,Fourth quintile,Croatia,15.2,31.3,1
Income,0,Fifth quintile,Belgium,4.3,20.8,1
Income,0,Fifth quintile,Bulgaria,26.5,41.6,1
Income,0,Fifth quintile,Czech Republic,1.5,14.4,1
Income,0,Fifth quintile,Denmark,2.1,18.3,1
Income,0,Fifth quintile,Germany,2.5,19.7,1
Income,0,Fifth quintile,Estonia,1.5,21.7,1
Income,0,Fifth quintile,Ireland,1.3,29.9,1
Income,0,Fifth quintile,Greece,3.3,27.7,1
Income,0,Fifth quintile,Spain,2.6,25.5,1
Income,0,Fifth quintile,France,5.5,19.2,1
Income,0,Fifth quintile,Italy,6.3,24.5,1
Income,0,Fifth quintile,Cyprus,11.9,23.6,1
Income,0,Fifth quintile,Latvia,7.3,38.1,1
Income,0,Fifth quintile,Lithuania,11,33.4,1
Income,0,Fifth quintile,Luxembourg,3.7,17.1,1
Income,0,Fifth quintile,Hungary,9.8,29.9,1
Income,0,Fifth quintile,Malta,0.7,20.6,1
Income,0,Fifth quintile,Netherlands,1.2,15.1,1
Income,0,Fifth quintile,Austria,2.6,16.6,1
Income,0,Fifth quintile,Poland,6.6,27.8,1
Income,0,Fifth quintile,Portugal,5.6,25.3,1
Income,0,Fifth quintile,Romania,12.3,41.4,1
Income,0,Fifth quintile,Slovenia,3.8,18.3,1
Income,0,Fifth quintile,Slovakia,4.9,20.6,1
Income,0,Fifth quintile,Finland,2.8,16.9,1
Income,0,Fifth quintile,Sweden,1.3,15,1
Income,0,Fifth quintile,United Kingdom,0.8,23.1,1
Income,0,Fifth quintile,Iceland,2.3,13.7,1
Income,0,Fifth quintile,Norway,1.4,14.9,1
Income,0,Fifth quintile,Switzerland,1.6,17.1,1
Income,0,Fifth quintile,Croatia,8.9,31.3,1
Household,1,Single person,Belgium,30.6,20.8,1
Household,0,Single person,Bulgaria,71.7,41.6,1
Household,0,Single person,Czech Republic,25.5,14.4,1
Household,0,Single person,Denmark,36.4,18.3,1
Household,0,Single person,Germany,35.6,19.7,1
Household,0,Single person,Estonia,34.5,21.7,1
Household,0,Single person,Ireland,34,29.9,1
Household,0,Single person,Greece,38.6,27.7,1
Household,0,Single person,Spain,31,25.5,1
Household,0,Single person,France,27.2,19.2,1
Household,0,Single person,Italy,31.1,24.5,1
Household,0,Single person,Cyprus,41.2,23.6,1
Household,0,Single person,Latvia,53.8,38.1,1
Household,0,Single person,Lithuania,46.8,33.4,1
Household,0,Single person,Luxembourg,21.7,17.1,1
Household,0,Single person,Hungary,33.6,29.9,1
Household,0,Single person,Malta,30.9,20.6,1
